Date of Incident,City,Select State,Hazard Description,Inspection Number,Federal or State Plan,Citation Issued Related to Fatality
7/1/2022,Lexington,KY,Tex Conley (45) electrocuted while servicing HVAC unit.,1605650,State,Yes
7/1/2022,Miami Beach,FL,Dion Moore (52) fatally shot.,1606956,Federal,Yes
7/1/2022,Norwalk,CT,Carmen Calandro (99) fatally crushed by forklift.,1606196,Federal,Yes
7/1/2022,Salisbury,NC,Jeffery Jason Goodman (43) died in fall from forklift basket.,1606076,State,Yes
6/30/2022,Allen,KY,William Petry (61) fatally shot while serving emergency protective order.,1605649,State,Yes
6/30/2022,New Albany,MS,Shannon Slater (47) died in fall through skylight.,1605619,Federal,Yes
6/30/2022,Paso Robles,CA,Cesar Rivera (40) fatally struck by truck.,1606020,State,No
6/30/2022,Salt Lake City,UT,Tristan Wyette Forrest (25) died in fall from ladder.,1605629,State,No
6/30/2022,Trenton,MI,Robert Keith (57) fatally crushed by falling forklift load.,1605244,State,Yes
6/29/2022,Austin,TX,Jeffery Richardson (35) fatally struck by drunk driver.,1605893,Federal,Yes
6/29/2022,Fort Mill,SC,Jeffery Huntley (65) fatally injured in fall from truck cab.,1606717,State,Yes
6/29/2022,Meeker,CO,Ulises Zubia (25) died in flash fire.,1606037,Federal,Yes
6/29/2022,Shickley,NE,Juan Gonzale Martinez (56) died in fall from grain bin.,1605938,Federal,No
6/29/2022,Springfield Gardens,NY,Jose Restrepo (77) fatally crushed under motor vehicle.,1605238,Federal,No
6/28/2022,Jarrell,TX,Jose R. Vargas Ramirez (40) and Jimmy Lee Alvarado (21) died in trench collapse.,1604513,Federal,No
6/28/2022,Poinciana,FL,Fernando Enrique (35) died in fall from truss.,1604878,Federal,Yes
6/28/2022,Roanoke,VA,Matthew Frazier (55) fatally struck by motor vehicle.,1605428,State,No
6/28/2022,Winnie,TX,Richard Crosby (63) fatally crushed by excavator.,1605080,Federal,No
6/27/2022,Hartsville,TN,Luis Garcia (39) died in fall from grain drill.,1604846,State,Yes
6/27/2022,Pine Bluff,AR,Randy Lee (65) died from exposure to chlorine dioxide vapors.,1604886,Federal,Yes
6/27/2022,Pinellas Park,FL,George Melo (39) died in fall through roof.,1603377,Federal,Yes
6/27/2022,Westbrook,TX,Azael Kabago (53) fatally struck by truck.,1605415,Federal,No
6/26/2022,Loco Hills,NM,Alberto Alvarez (46) and Israel Martinez (45) died while cleaning frack tank.,1604944,State,Yes
6/24/2022,Brighton,CO,Kevin Lockett (50) died in fall through roof.,1606221,Federal,No
6/24/2022,Jonesville,NC,Maximo Mejia (39) fatally crushed between truck and trailer.,1604681,State,Yes
6/24/2022,Mckinney,TX,Paulin Sanchez (41) died in trench collapse.,1604239,Federal,No
6/24/2022,Pigeon,MI,Kenneth Strahan (48) fatally crushed when forklift overturned.,1604246,State,No
6/24/2022,Rutledge,GA,Chandler Berthelsen (23) fatally struck by falling tree.,1604178,Federal,Yes
6/24/2022,South Haven,MI,Steve Erickson (49) died in fall from elevated platform.,1605249,State,No
6/24/2022,Sun Valley,CA,Misael Montoya (29) died in trench collapse.,1605314,State,No
6/24/2022,West Point,MS,Robert Grays (68) fatally struck by skid steer loader.,1605007,Federal,Yes
6/23/2022,Bakersfield,CA,Cristian Salais (27) electrocuted while installing solar panel system on roof.,1604540,State,No
6/23/2022,Carrollton,TX,Victor Young (54) fatally struck by falling bag of resin pellets.,1603952,Federal,Yes
6/23/2022,Charlottesville,VA,Valente Nolasco Zaragoza (54) died in fall from scaffold.,1606812,State,Yes
6/23/2022,Maggie Valley,NC,Maritza Contreras (42) fatally struck by wood chipper.,1625361,State,Yes
6/23/2022,Patterson,LA,Jeff Deshommes (44) died in welding explosion.,1605985,Federal,Yes
6/23/2022,San Antonio,TX,Gabriel Infante (24) died from heat stroke.,1604112,Federal,Yes
6/23/2022,Santa Maria,CA,Julio Fernando Munoz De La Cruz (22) fatally struck by vehicle.,1604373,State,No
6/23/2022,Taunton,MA,Michael Messina (58) electrocuted when roof antenna contacted power line.,1603901,Federal,No
6/22/2022,Kellogg,MN,Brian Bromen (72) fatally crushed when lawnmower overturned.,1609775,State,Yes
6/22/2022,Oriental,NC,Ronald L. Strickland (57) died in fall from roof.,1604137,State,Yes
6/22/2022,Shelburne,VT,Maurice Roussin (57) died in fall from ladder.,1607386,State,Yes
6/22/2022,Turner,ME,Paul Cutter (77) fatally crushed when mower overturned.,1603683,Federal,No
6/21/2022,Brigham City,UT,William Kossman (69) fatally injured when UTV overturned.,1603739,State,No
6/21/2022,Houston,TX,Jesus Mendoza (31) electrocuted by communications cable.,1603623,Federal,Yes
6/21/2022,Liberty Hill,TX,Jorge Gomez (49) died of heat stroke.,1603772,Federal,Yes
6/21/2022,Rapidan,VA,Cheyenne Hale (45) died in fall from bucket loader.,1603844,State,Yes
6/21/2022,Tipp City,OH,Brad Fritz (36) fatally struck by auger.,1603697,Federal,No
6/21/2022,Yarmouth,IA,Rickey Kammerer (29) died in silo collapse.,1603557,State,Yes
6/20/2022,Dripping Springs,TX,Jose Raul Cepeda (47) died in fall from roof.,1603096,Federal,Yes
6/20/2022,Montpelier,KY,Joseph Robertson (22) fatally struck by falling utility pole.,1603489,State,Yes
6/19/2022,Bethel,NY,Gerardo Contreras (26) drowned in sump pit.,1602901,Federal,Yes
6/19/2022,Swannanoa,NC,Tiffany Faye Lunsford (41) died in fall from ladder.,1604128,State,Yes
6/18/2022,Brighton,CO,Victor Godin (33) died in excavation collapsed.,1603037,Federal,Yes
6/18/2022,Golden,CO,Matthew Liu (28) died when truck fell off roadway into reservoir.,1603105,Federal,Yes
6/18/2022,Valley,AL,Tim Petrocco (19) fatally struck by rolling truck.,1607856,Federal,No
6/18/2022,Whittier,CA,Kathy Winger (67) fatally struck by truss stand.,1606688,State,No
6/17/2022,Cape Coral,FL,Jorge Luis Rojas Leon (55)fatally crushed by quartz slab.,1602925,Federal,Yes
6/17/2022,Dallas,TX,Severo Cardenas (32) sustained fatal burns from electrical switch.,1603313,Federal,No
6/17/2022,Hickory,NC,Kenneth Legget (41) died from carbon monoxide poisoning from generator.,1630925,State,Yes
6/17/2022,Lakehead,CA,Fernando Navarro (42) fatally struck by chain hook.,1603309,State,No
6/17/2022,Nashville,TN,Christopher Rice (35) did in fall down stairwell shaft after being struck by crane load.,1602868,State,No
6/17/2022,Plains,GA,Mike Bailey (54) died in fall from elevated platform.,1602965,Federal,Yes
6/16/2022,Hope,MN,Paul Frantum (36) fatally engulfed in grain bin.,1602953,State,Yes
6/16/2022,Prosper,TX,Miguel Angel Muro Ruvalcalba (44) died in fall from ladder.,1603073,Federal,Yes
6/16/2022,Tempe,AZ,Andreina Ramirez Cabrera (25) fatally injured when forklift overturned.,1603241,State,No
6/15/2022,Brewster,NY,William Henry (55) died when bucket truck overturned.,1603047,Federal,Yes
6/15/2022,Mullica Hill,NJ,Bruce Allen Cheeseman (48) died in fuel tank explosion.,1602216,Federal,Yes
6/15/2022,South Boston,MA,Robert Boisvert (41) fatally struck by motor vehicle.,1602213,Federal,No
6/14/2022,Rome,GA,Cody Hauser (19) and John Lane (19) died in vehicle collision.,1603257,Federal,No
6/14/2022,San Jose,CA,Monte Garrett (48) fatally crushed by pipe.,1602276,State,No
6/14/2022,Vineland,NJ,Oligario Dos Santos (45) fatally struck by trailer.,1602012,Federal,Yes
6/14/2022,White Plains,NY,Anthony Addrade (42) fatally struck by truck backing up.,1601769,Federal,Yes
6/13/2022,Fort Myers,FL,Leonel Diaz (60) electrocuted when grapple truck contacted power line.,1601556,Federal,Yes
6/13/2022,Wake Forest,NC,Joshua Pierce (33) fatally crushed by tow truck.,1602144,State,No
6/12/2022,Marsing,ID,Victor Mendoza (27) fatally struck by cow.,1601663,Federal,Yes
6/11/2022,Colorado Springs,CO,Riley Whitelaw (17) fatally stabbed by coworker.,1602985,Federal,No
6/10/2022,Faribault,MN,Jonathan VanDuzen (33) electrocuted while servicing power panel.,1601574,State,Yes
6/10/2022,Newark,NJ,Jamie Ramirez-Sibrian (55) died in fall from ladder.,1601674,Federal,Yes
6/9/2022,Bonita Springs,FL,Carl Glidden (78) drowned when skid steer overturned in pond.,1601411,Federal,Yes
6/9/2022,Boston,MA,James Chaffee (38) fatally struck by falling pallet of stone.,1603028,Federal,No
6/9/2022,Pasadena,MD,Joao Eduardo Goncalves Claudino (51) died in forklift rollover.,1601659,State,Yes
6/8/2022,Eau Claire,WI,Sevasska Grant (33) died in mobile home collapse.,1602091,Federal,Yes
6/7/2022,Glendale,KY,Lance Winemiller (24) fatally struck by forklift.,1600659,State,Yes
6/7/2022,Louisville,KY,Alberto Martinez (49) fatally struck by forklift falling from trailer.,1600661,State,Yes
6/7/2022,Naples,ME,Shane Malloy (44) fatally crushed in roof collapse.,1600776,Federal,Yes
6/7/2022,Palmyra,MO,Joseph Shook (28) fatally crushed by bulldozer.,1600622,Federal,Yes
6/7/2022,Pine Bluff,AR,Woodrow Kyle Vaughan (26) fatally crushed by overturning crane.,1600337,Federal,Yes
6/7/2022,Robards,KY,Phillip Hill (39) died from exposure to hydrogen sulfide.,1601356,State,Yes
6/6/2022,Chino,CA,Dina Silva (43) fatally struck by semi-truck.,1602074,State,No
6/6/2022,Houston,TX,David Delacruz (27) fatally struck by door.,1600320,Federal,Yes
6/6/2022,Kingston,GA,Filogonio Ortiz (53) fatally struck by rolling water truck.,1600425,Federal,No
6/6/2022,Mount Shasta,CA,Jillian Webster (33) died in fall on mountain.,1601416,State,No
6/5/2022,Covington,VA,Earl Stull (24) fatally crushed between stump grinder and tree.,1599877,State,No
6/5/2022,San Jose,CA,Manny Huizar-Cornejo (24) fatally shot.,1600822,State,No
6/4/2022,Rockland,ME,Kendall Ross (37) fatally crushed in building collapse.,1602225,Federal,Yes
6/4/2022,Simpsonville,SC,Jose Blanuelos-Bauti (37) died from exposure to carbon monoxide.,1600657,State,Yes
6/3/2022,Fairfax,VA,Jose Angel Rivera (25) electrocuted by powerline while trimming trees.,1599738,State,Yes
6/3/2022,Vacaville,CA,Quanda McGadney (51) fatally struck by motor vehicle.,1600556,State,No
6/3/2022,Wayzata,MN,Brady Aune (20) drowned while scuba diving.,1600678,State,Yes
6/2/2022,Grand Forks,ND,Gerald Schwan (54) fatally struck by tailgate.,1599954,Federal,No
6/2/2022,Houston,TX,Gustavo Lara (46) died in fall from scaffold.,1601274,Federal,Yes
6/2/2022,Mapleton,IL,Steven Dierkes (39) fell into crucible of molten iron.,1600304,Federal,Yes
6/2/2022,Midland,TX,Gustavo Martinez (38) died in fall through floor.,1600456,Federal,Yes
6/2/2022,Minneapolis,MN,Tyler James Bailey (24) electrocuted when window washing pole struck power line.,1599494,State,Yes
6/2/2022,Salisbury,NC,Reaver Vaughan (61) fatally struck by forklift.,1600064,State,Yes
6/1/2022,Rose Hill,IA,Pablo Gomez (46) fatally crushed by excavator.,1599427,State,Yes
6/1/2022,Weston,MA,Juan Fuerte (47) fatally struck by truck.,1599644,Federal,No
5/31/2022,Belford,NJ,John Molnar (47) asphyxiated in manhole.,1606807,State,No
5/31/2022,Colton,CA,Dejah Williams (25) died in vehicle collision.,1598919,State,Yes
5/31/2022,Fairfield,CT,Daniel Henderson (57) died in fall through skylight.,1599383,Federal,No
5/31/2022,Houston,TX,Christian Santamaria (49) fatally injured by boring machine.,1599276,Federal,Yes
5/31/2022,Lehi,UT,Jose Beltran (21) died in fall from roof.,1598864,State,Yes
5/31/2022,Mosinee,WI,Larry Baumann (56) fatally crushed by agricultural sprayer.,1598977,Federal,Yes
5/31/2022,Mount Sterling,KY,Bobby Waldridge (56) died in vehicle collision.,1629401,State,Yes
5/28/2022,West Palm Beach,FL,Dolores Yamileth Martinez Ponce (23) died in fall.,1598757,Federal,Yes
5/27/2022,Dallas,TX,Adonias Issac Recinos Gonzalez (29) fatally struck by drill bit.,1598867,Federal,No
5/27/2022,Palestine,TX,Bryce Sweeney (22) worker fatally struck by falling ice.,1599062,Federal,No
5/26/2022,Los Angeles,CA,Houston Tipping (32) fatally injured during unarmed combat training.,1599318,State,Yes
5/25/2022,Dos Palos,CA,Reuben Gonzalez (36) fatally struck by bus.,1598614,State,No
5/25/2022,Lebanon,IN,Raymundo Lemus Gonzales Tomas (29) died when lift tipped over.,1598678,State,No
5/24/2022,Huntersville,NC,Michael Massello (47) died in fall from ladder.,1598449,State,Yes
5/24/2022,Walnut Grove,KY,Domingo Cruz (50) died in fall through skylight.,1598461,State,Yes
5/23/2022,Carbondale,IL,Arthur Chappell (71) died in fall from bus mobility lift.,1624725,State,No
5/23/2022,Franklin,TX,Maurhys Johnson (42) electrocuted by contact with wiring.,1598631,Federal,Yes
5/23/2022,Lahaina,HI,Apolinario Manuel Jr. (55) died in fall from roof.,1609727,State,Yes
5/23/2022,Lancaster,PA,Christopher Chizauskie (26) fatall struck by front dumper.,1597748,Federal,Yes
5/21/2022,Glenbrook,NV,Daniel Lopez (56) died in vehicle rollover.,1598692,State,No
5/20/2022,Caguas,PR,Juan R. Rivera Gonzalez (46) Electrocuted by contact with power lines.,1597542,State,No
5/20/2022,Midville,GA,Steven Westfall (53) died in fall from tree.,1597810,Federal,Yes
5/19/2022,Austin,TX,Franco Galvan-Martinez (45) fatally stung by bees.,1597297,Federal,Yes
5/19/2022,Huntsville,TX,Felipe Moreno (60) did in fall from scaffold.,1597171,Federal,Yes
5/19/2022,Lithonia,GA,Oscar Nambo Dominguez (16) fatally injured in fall from truck cab.,1597717,Federal,Yes
5/19/2022,Medley,FL,Concepcion Chacon (27) died in fall through skylight.,1597295,Federal,No
5/19/2022,Sterling,VA,Adam Peterson (47) died from exposure to nitrogen gas.,1596902,State,No
5/18/2022,Houston,TX,Bernard Jenkins (31) fatally struck by motor vehicle.,1596881,Federal,No
5/18/2022,Mountain Home,AR,Michael Joseph Beam (52) died in fall on steps.,1597362,Federal,No
5/17/2022,Brookston,TX,Alejandro Martinez (42) fatally injured in ATV rollover.,1596750,Federal,Yes
5/17/2022,Brunswick,GA,Cody Olafson (26) died from heat-related illness.,1597705,Federal,No
5/17/2022,Estero,FL,Timothy Collins (50) drowned in pond.,1596907,Federal,No
5/17/2022,Los Angeles,CA,Jose Manuel Aranda Rodriguez (47) fatally crushed by machine.,1596335,State,No
5/17/2022,Munday,WV,Alan Brewster (46) fatally struck by rim when tire exploded.,1596699,Federal,Yes
5/17/2022,Odessa,TX,Edward Parker (62) died in fall from drilling platform.,1596498,Federal,Yes
5/16/2022,Austin,TX,John Guerrero Jr (46) died from heat stroke.,1596145,Federal,Yes
5/16/2022,Bassett,NE,Ryan Keogh (43) died in propane explosion.,1596724,Federal,No
5/16/2022,Benton,KY,Jody Wayne Cash (44) fatally shot.,1597336,State,Yes
5/16/2022,Cross Hill,SC,Ernest Scott (49) died in fall from tree.,1596332,State,Yes
5/15/2022,Ennis,TX,Jose Armando Tobar (63) collapsed from heat exhaustion and fell from roof.,1602000,Federal,Yes
5/14/2022,Bronx,NY,Domingo Ramirez (52) died in fall from scaffold.,1596559,Federal,Yes
5/14/2022,Gardendale,TX,Obed Acosta (31) died in chemical tank explosion.,1598093,Federal,Yes
5/13/2022,Campo,CA,Daniel Salazar (40) died in vehicle rollover.,1595997,Federal,Yes
5/13/2022,Palo Alto,CA,Ronald Mishra (39) fatally crushed by pallet.,1595777,State,Yes
5/13/2022,Theodore,AL,Richard Vardeman (49) fatally struck by catwalk falling from trailer.,1596130,Federal,Yes
5/12/2022,Macon,GA,David Butler (55) fatally crushed by forklift.,1595431,Federal,No
5/12/2022,Northlake,TX,Jorge Esparza (23) fatally crushed between forklift and storage rack.,1598081,Federal,No
5/12/2022,Stockton,CA,Mario Gastelum-Aguilar (64) fatally struck by tractor.,1595410,State,No
5/11/2022,Bristol,WI,Thomas Linkous (37) died from heat stress.,1606631,Federal,Yes
5/11/2022,Carson,CA,Robert Ring (57) fatally crushed between trailers.,1595068,State,No
5/11/2022,Garrison,TX,Cedrick Woodson (37) fatally struck by block.,1595384,Federal,Yes
5/11/2022,Knott,TX,Auden Gamino (39) fatally struck by pumpjack brake.,1595701,Federal,Yes
5/10/2022,Elizabeth,NJ,Czeslaw Solarv (69) died in fire.,1595028,Federal,No
5/10/2022,Montgomery,MN,Tanner Dosch (23) worker fatally struck by skid loader.,1602490,State,Yes
5/10/2022,Paducah,KY,J C Mulcahy II  (22) electrocuted by plasma cutter.,1595228,Federal,Yes
5/9/2022,King Of Prussia,PA,Rith Path (55) fatally crushed bettween hoist and paper machine.,1594706,Federal,No
5/9/2022,Laredo,TX,Sergio Carasco (57) died in fall through skylight.,1598573,Federal,No
5/9/2022,Monahans,TX,Diamond Jefferson (33) fatally crushed when derrick toppled over.,1594872,Federal,No
5/9/2022,Punta Gorda,FL,Marcos Santiz-Lopez (42) and Brandon Colburn (25) died in trench collapse.,1594857,Federal,Yes
5/7/2022,Floral City,FL,Nicholas Nordin (27) electrocuted by contact with steel beam.,1594333,Federal,Yes
5/7/2022,Howard Lake,MN,Manuel Garnica (43) fatally crushed by bucket of front end loader.,1594557,State,Yes
5/6/2022,Beltsville,MD,Willie  Spicknall (68) fatally struck by plant rack.,1594366,State,No
5/6/2022,Browns Summit,NC,Montrell Rudd (49) fatally crushed in mixing tank.,1594786,State,Yes
5/6/2022,Hialeah,FL,Juan Moreno (42) fatally struck by crate.,1595596,Federal,Yes
5/6/2022,Jefferson City,MO,Daniel Strohmeyer (69) died from exposure to bleach fumes.,1604818,Federal,Yes
5/6/2022,Portland,OR,Sir Charles Jones  (23) fatally shot.,1601576,State,No
5/5/2022,Gove,KS,Omar Acevedo De Paz (43) fatally struck by drill collar.,1594445,Federal,Yes
5/5/2022,San Jose,CA,Mariano Perez Antonio (21) fatally crushed by truck.,1594145,State,No
5/4/2022,Fredericksburg,VA,Brody Beverly (23) fatally struck by dump truck.,1593825,State,No
5/3/2022,Selma,NC,Virginia Lopez (46) fatally injured by kneading machine.,1593391,State,Yes
5/3/2022,Williams,SC,Dan Padgett (82) fatally struck by lumber cart.,1593961,State,Yes
5/2/2022,Hicksville,OH,Sergio Alvaro Ical Ba (21) fatally crushed by conveyor.,1593437,Federal,Yes
5/2/2022,Ocean City,NJ,Robert Sanger (62) fatally crushed when lift struck concrete pier.,1593211,Federal,Yes
5/1/2022,Olive Branch,MS,James Smith (48) fatally struck by conveyor.,1593212,Federal,No
4/30/2022,Alexandria,VA,Jesus Alberto (41) died in fall from elevated working surface.,1593007,State,Yes
4/30/2022,Forest Hills,NY,Zhi Wen Yan (45) fatally shot by customer.,1599992,Federal,No
4/30/2022,Little Rock,AR,Dedrick Smith (29) asphyxiated in blast freezer.,1592906,Federal,Yes
4/29/2022,Alto,MI,Ronald Bencker (68) and Peter Bencker (59) died in trench collapse.,1593343,State,No
4/29/2022,Lexington,KY,Callie Witt (20) fatally injured in fall from horse.,1593673,State,Yes
4/29/2022,Pearl Harbor,HI,Jarrad Oga (26) drowned whille diving to recover fallen piling jacket.,1593374,Federal,No
4/27/2022,Dubuque,IA,Craig Jackson (61) fatally struck by goal post.,1592591,State,Yes
4/27/2022,Teton Village,WY,Ricardo Hernandez (42) died in fall from roof.,1593602,State,Yes
4/27/2022,Westlake,LA,Harry Northrup (65) fatally struck by falling truck load.,1592699,Federal,Yes
4/26/2022,Belmont,MS,Olivia Hernandez (46) fatally crushed by machine.,1592628,Federal,Yes
4/26/2022,Houston,TX,Robert Brooks (42) elctrocuted while installing light fixture.,1592406,Federal,No
4/26/2022,Kew Gardens,NY,Shishan Singh (56) died in fall from scaffold.,1592060,Federal,Yes
4/26/2022,Newark,NJ,Dieujuste Noel (56) died in fall from loading dock.,1592602,Federal,No
4/26/2022,Wilsonville,OR,Adam Trainor (41) fatally struck by dump truck.,1592219,State,No
4/25/2022,Dallas,TX,Marco Medina Perales (27) electrocuted by thermostat wire.,1591867,Federal,No
4/25/2022,Middleton,ID,Kyler Alderson (25) electrocuted when pole contacted power line.,1592087,Federal,Yes
4/25/2022,Montgomery,NY,David Baker (52) fatally struck by forklift.,1591768,Federal,No
4/25/2022,San Antonio,TX,Kevin Reed (52) fatally crushed by car during servicing.,1591631,Federal,Yes
4/25/2022,Summerville,SC,Frank Ellis (35) died in fall from roof.,1593111,State,Yes
4/24/2022,Longs,SC,Paul Liwock (38) worker fatally struck by vehicle.,1592849,State,Yes
4/22/2022,Chautauqua,NY,David E. Esser (51) died in fall from roof.,1591800,Federal,Yes
4/22/2022,Miami,FL,John Crichlow (54) died in fall from crane.,1591645,Federal,Yes
4/22/2022,Smyrna,TN,Phongphet Mingsisouphanh (58) fatally struck by concrete pillar.,1591564,State,No
4/21/2022,Caldwell,ID,Noah Matthew Brien (23) fatally crushed in wall collapse.,1591276,Federal,Yes
4/21/2022,Dayton,NJ,Sinan Boz (37) fatally struck by granite slab.,1591212,Federal,Yes
4/21/2022,Farmerville,LA,Ketrick Calhoun (52) fatally stabbed by coworker.,1591241,Federal,No
4/21/2022,Lauderhill,FL,Fransaint Emile (52) died in fall from ladder.,1599749,Federal,Yes
4/20/2022,Bridger,MT,Marla Murray (71) and John Ahles (33) died in gas explosion.,1591001,Federal,No
4/20/2022,Clovis,CA,Lorenzo Adrian Garcia (32) died in fall from roof.,1591050,State,Yes
4/20/2022,De Forest,WI,Guadalupe Cervantes Vallin (43) fatally struck by falling wall.,1591017,Federal,Yes
4/20/2022,Myrtle Beach,SC,Steven B. Arthur (43) fatally crushed between vehicle and door.,1591357,Federal,No
4/20/2022,Pegram,TN,Joseph Brown (34) died in fall from tower.,1591708,Federal,No
4/20/2022,Reno,NV,Austin Bunnell (29) suicide.,1591030,State,No
4/20/2022,Savannah,GA,Artis Williams (39) worker fatally struck by truck.,1590899,Federal,No
4/19/2022,Sealy,TX,John Joseph Wall (35) asphyxiated from Argon gas exposure.,1591176,Federal,Yes
4/18/2022,Palm Beach,FL,Kevin Cabrera (29) died in fall from ladder.,1590687,Federal,No
4/18/2022,Playa Del Rey,CA,Jose Moreno (48) died in fall through plywood floor.,1590976,State,No
4/18/2022,Savannah,GA,Jeremy Holt (32) electrocuted by underground power line.,1590338,Federal,Yes
4/16/2022,Clayton,NC,Bibiana Arellano (22) fatally crushed by mixer.,1590745,State,Yes
4/15/2022,Dover,DE,Patrick McGinnis (59) fatally struck by excavator.,1592390,Federal,No
4/15/2022,Provo,UT,Aldiar Bruno (30) died in fall from roof.,1590067,State,No
4/15/2022,Salem,VA,Shaun Bond (40) died in fall from aerial lift.,1590107,State,No
4/14/2022,Los Angeles,CA,William Padilla (30) died in fall from ladder.,1590039,State,Yes
4/14/2022,Toledo,OH,Shaun Baker (42) died after becoming caught in machine drive shaft.,1589738,Federal,Yes
4/14/2022,Waseca,MN,Maynard Stensrud (65) died in fall through ceiling.,1590497,State,No
4/13/2022,Atlanta,GA,Rony Cuz (26) fatally injured after becoming caught in machine.,1589630,Federal,Yes
4/13/2022,Corpus Christi,TX,Rene Jimenez (41) and Joseph Rivas Rodriguez (41) electrocuted during excavation.,1589632,Federal,No
4/13/2022,South Gate,CA,Matthew Woolsey (23) fatally injured by conveyor.,1591044,State,No
4/12/2022,Philadelphia,PA,Fabio Da Silva Gomes (30) died in fall through floor hole.,1589896,Federal,No
4/11/2022,Arnold,MO,Cory Nuernberger (29) fatally crushed by conveyor belt.,1589297,Federal,Yes
4/11/2022,East Orange,NJ,Gregorio Reyes (60) fatally shot by customer.,1590347,Federal,Yes
4/11/2022,Harrisburg,PA,Jeffrey Hanwell (49) fatally struck by vehicle.,1588942,Federal,No
4/11/2022,Tampa,FL,Jose Goncalves (38) died in fall through skylight.,1590079,Federal,Yes
4/10/2022,Mason City,IA,Salena Williams (62) suffered fatal injuries in fall on sidewalk.,1588967,State,No
4/9/2022,Austin,TX,Jorge Mendoza Ramirez (21) electrocuted by faulty drop light.,1589746,Federal,No
4/9/2022,Panama City,FL,Bill Lawrence (76) fatally injured in fall on concrete floor.,1589449,Federal,No
4/9/2022,Studio City,CA,David Cerigioni (70) electrocuted while trimming tree.,1598336,State,Yes
4/8/2022,Dudley,MO,Tony Alsup (61) died in tranch collapse.,1588660,Federal,No
4/8/2022,Paton,IA,Kevin Cummings (57) fatally crushed under excavator.,1588869,State,Yes
4/7/2022,La Pine,OR,Ethan James Matthews (23) electrocuted when boom lift contacted power line.,1591091,State,No
4/7/2022,Marlton,NJ,Devin Brown (19) fatally struck by front end loader.,1588152,Federal,No
4/7/2022,Spring,TX,Miqueas Misael Miranda Perez (33) died in fall from roof.,1589036,Federal,Yes
4/6/2022,Aston,PA,Minh Kien Ly (66) fatally injured by lathe.,1588204,Federal,Yes
4/6/2022,Blackwell,OK,Jacob States (26) fatally crushed when mobile service rig overturned.,1588427,Federal,Yes
4/6/2022,Ridgewood,NY,Holger Molina-Pinos (46) died in fall from stairs.,1588115,Federal,No
4/6/2022,Scott City,MO,Brandon Griffin (25) died in fall from grain silo.,1588375,Federal,Yes
4/5/2022,Almena,WI,Andrew Amundson (39) drowned in liquid whey storage tank.,1588830,Federal,Yes
4/5/2022,Anderson,SC,Iain Peare (24) fatally shot by former coworker.,1588319,State,Yes
4/5/2022,Billings,MT,Parker Hopkins (37) fatally crushed between truck and trailer.,1587880,Federal,Yes
4/4/2022,Fort Myers,FL,Ermerlo Dominguez (36) died in fall from roof.,1588806,Federal,Yes
4/4/2022,Margate,FL,Efren Diaz (23) drowned in canal.,1588142,Federal,Yes
4/4/2022,Mountain Top,PA,Gordon Remensnyder (79) fatally struck by truck.,1587806,Federal,Yes
4/4/2022,Walnut Creek,CA,Micheal Taylor (62) fatally struck by semi truck.,1588558,State,No
4/3/2022,Bloomingdale,GA,Chris Devergter (49) fatally injured when cart overturned.,1587541,Federal,No
4/2/2022,Klamath Falls,OR,Amber M. Heavilin (36) fatally crushed between pocket carriage and ground.,1587762,State,No
4/2/2022,West Palm Beach,FL,Nelson Palomino (48) electrocuted by light fixture.,1587903,Federal,Yes
4/1/2022,Boonsboro,MD,Patty Ventimigla (53) fatally struck by street sweeper.,1587354,State,No
4/1/2022,Davy,WV,Joey Bennett (43) fatally struck by bulldozer.,1588106,Federal,No
4/1/2022,Elkhorn,WI,Jesse Perry (39) died in crane barge explosion.,1587306,Federal,No
4/1/2022,Houston,TX,Alexander Uzcategui-Canizalez (42) died in fall through skylight.,1587450,Federal,Yes
4/1/2022,Salinas,CA,Jose Jeremias Vargas-Amaya (35) died in fall from scaffold.,1587445,State,No
4/1/2022,San Angelo,TX,Victor Manuel Gutierrez (58) died from self-inflicted gunshot wound.,1587252,Federal,Yes
3/31/2022,Santa Rita,GU,Hart Lacanilo (58) died in fall from ladder after contacting energized wire.,1586942,Federal,Yes
3/31/2022,Shreveport,LA,Flavio De La Cruz (25) fatally struck by truck boom.,1588103,Federal,No
3/31/2022,Stockton,CA,Ray Alfaro (31) fatally struck by falling bundle of wire.,1587389,State,No
3/31/2022,Wichita,KS,Brian Weidner (32) fatally struck by forklift.,1587479,Federal,Yes
3/30/2022,Columbus,OH,William Bolanz (66) worker fatally struck by falling load of truck tires.,1587188,Federal,Yes
3/30/2022,Memphis,TN,Xavier Leake (30) fatally struck by forklift.,1586861,State,Yes
3/30/2022,Monroe,NC,James Ratliff (65) worker died in fall from tree.,1590746,State,Yes
3/30/2022,Portland,OR,Kenneth D. Mayer (63) fatally struck by falling load in warehouse.,1587763,State,No
3/29/2022,Pontiac,MI,Aristo Vaz (67) died in fall from step ladder.,1586587,State,No
3/29/2022,Saint Paul,MN,Patrick Schipper (63) died in fall from ladder.,1586967,State,Yes
3/28/2022,Cicero,IL,Elias Avila-Romero (37) fatally crushed under forklift.,1586130,Federal,Yes
3/28/2022,Houston,TX,Margarito Ladezma (50) electrocuted by power lines while trimming trees.,1587034,Federal,No
